[SYNCED]New data for subpage #0: 0x0008?
[-56, -48, -48, -59, -51, -47, -48, -59, -51, -49, -43, -60, -50, -49, -45, -60, -45, -49, -44, -60, -45, -49, -43, -58, -41, -48, -42, -59, -47, -51, -39, -64,
-56, -62, -68, -58, -57, -61, -67, -56, -55, -60, -66, -58, -54, -60, -63, -60, -49, -59, -61, -58, -50, -60, -61, -57, -44, -59, -59, -56, -46, -59, -57, -62,
-54, -49, -49, -59, -52, -50, -47, -60, -50, -48, -46, -60, -51, -50, -43, -60, -48, -49, -44, -60, -46, -49, -43, -60, -44, -49, -42, -61, -43, -50, -39, -64,
-56, -61, -69, -57, -56, -62, -69, -59, -53, -62, -65, -60, -54, -60, -64, -60, -52, -59, -64, -58, -48, -59, -62, -57, -46, -59, -61, -58, -45, -61, -59, -63,
-49, -48, -49, -59, -52, -48, -47, -58, -49, -49, -48, -62, -49, -47, -45, -59, -43, -49, -43, -59, -46, -49, -45, -59, -45, -48, -42, -59, -46, -51, -40, -63,
-53, -62, -69, -59, -54, -60, -66, -59, -53, -61, -66, -60, -51, -61, -65, -59, -47, -60, -63, -58, -50, -60, -60, -57, -47, -58, -59, -58, -49, -61, -57, -63,
-55, -52, -48, -10002, -54, -48, -46, -60, -50, -51, -47, -63, -49, -49, -44, -62, -46, -50, -44, -58, -47, -48, -42, -61, -43, -50, -41, -60, -44, -50, -38, -65,
-61, -65, -85, -62, -59, -61, -69, -60, -56, -64, -69, -57, -54, -62, -67, -59, -51, -62, -64, -58, -49, -61, -63, -59, -47, -61, -60, -57, -47, -61, -58, -63,
-53, -48, -50, -60, -52, -47, -47, -62, -51, -49, -48, -59, -50, -51, -45, -62, -45, -50, -43, -60, -46, -47, -43, -60, -43, -48, -41, -62, -45, -49, -40, -65,
-59, -66, -71, -62, -57, -64, -69, -62, -56, -62, -69, -60, -55, -62, -68, -60, -50, -64, -66, -62, -48, -61, -64, -60, -46, -62, -62, -60, -48, -63, -61, -65,
-52, -51, -49, -58, -49, -47, -47, -60, -49, -50, -48, -58, -52, -50, -47, -60, -44, -49, -45, -59, -45, -48, -42, -59, -42, -49, -44, -60, -48, -51, -43, -65,
-60, -66, -71, -62, -55, -66, -70, -61, -56, -66, -68, -62, -57, -63, -66, -62, -50, -63, -67, -59, -50, -60, -64, -59, -48, -63, -62, -61, -52, -63, -62, -66,
-58, -50, -52, -62, -54, -50, -49, -60, -53, -49, -49, -61, -53, -51, -48, -62, -49, -50, -47, -61, -47, -50, -46, -60, -45, -49, -42, -61, -46, -49, -42, -64,
-66, -69, -76, -67, -60, -66, -75, -64, -61, -67, -72, -65, -59, -65, -71, -62, -54, -65, -69, -63, -52, -63, -67, -61, -50, -64, -64, -63, -52, -64, -63, -67,
-60, -48, -52, -61, -57, -50, -51, -62, -55, -49, -51, -64, -52, -51, -48, -62, -48, -51, -49, -61, -47, -50, -47, -61, -48, -50, -45, -63, -48, -52, -43, -67,
-68, -71, -79, -71, -62, -70, -79, -66, -61, -68, -75, -67, -58, -69, -73, -64, -55, -66, -70, -64, -53, -65, -69, -63, -51, -65, -67, -63, -52, -65, -65, -67,
-55, -51, -52, -61, -54, -51, -54, -63, -53, -51, -54, -61, -51, -50, -51, -63, -49, -50, -48, -62, -49, -50, -47, -61, -48, -50, -47, -63, -50, -50, -46, -68,
-68, -72, -80, -69, -64, -72, -82, -69, -60, -72, -77, -67, -59, -69, -74, -66, -57, -68, -72, -65, -54, -66, -71, -66, -54, -69, -69, -65, -56, -67, -65, -70,
-64, -53, -57, -64, -57, -52, -54, -65, -58, -51, -53, -64, -56, -51, -52, -63, -52, -53, -50, -64, -49, -51, -49, -62, -51, -51, -48, -64, -51, -52, -47, -66,
-76, -77, -85, -73, -67, -74, -81, -72, -66, -72, -80, -72, -66, -72, -78, -69, -59, -71, -77, -69, -58, -71, -74, -68, -55, -69, -70, -66, -58, -71, -69, -70,
-69, -53, -59, -65, -63, -52, -57, -67, -59, -53, -56, -67, -58, -53, -55, -65, -52, -51, -53, -65, -51, -50, -51, -64, -49, -52, -49, -64, -54, -53, -49, -69,
-79, -79, -89, -78, -74, -77, -88, -76, -71, -76, -83, -74, -69, -75, -82, -73, -62, -73, -79, -71, -62, -74, -77, -71, -58, -71, -73, -69, -60, -69, -72, -73,
